,average,yearpublished,minplayers,maxplayers,NEW_CAT_Family_Game,NEW_CAT_Heavy_Game,NEW_CAT_Party_Game,NEW_CAT_Strategy_Game
120,7.37683,2014,1.0,4.0,0,0,0,1
121,6.97117,2012,2.0,5.0,1,0,0,0
122,7.31187,1982,2.0,4.0,1,0,0,0
123,7.39504,2012,2.0,4.0,0,0,0,1
124,7.42032,2015,2.0,5.0,0,0,0,1
125,7.19203,2011,2.0,6.0,0,0,0,1
126,7.05648,2004,3.0,7.0,0,0,1,0
127,7.6544,2011,1.0,2.0,0,0,0,1
128,7.83957,2015,2.0,4.0,0,0,0,1
129,7.99836,2014,1.0,5.0,0,0,0,1
130,7.59704,2018,1.0,22.0,0,0,1,0
131,7.51602,2011,2.0,4.0,0,0,0,1
132,6.93881,2013,3.0,8.0,0,0,1,0
133,8.1818,2007,2.0,4.0,0,1,0,0
134,6.96022,2011,2.0,4.0,0,0,0,1
135,7.54907,2016,5.0,10.0,0,0,1,0
136,7.5621,2012,1.0,5.0,0,0,0,1
137,7.80514,2018,1.0,5.0,0,0,0,1
138,7.3544,2017,2.0,5.0,1,0,0,0
139,7.75095,2010,1.0,4.0,0,0,0,1
140,7.78241,2012,2.0,6.0,0,0,0,1
141,8.20517,2016,1.0,4.0,0,1,0,0
142,6.69992,2003,2.0,4.0,1,0,0,0
143,7.30785,2008,1.0,4.0,0,0,0,1
144,6.53347,1998,2.0,5.0,1,0,0,0
145,7.47951,1999,2.0,5.0,0,0,0,1
146,7.66852,2014,2.0,4.0,0,1,0,0
147,6.85207,2014,3.0,8.0,0,0,1,0
148,8.47268,2017,1.0,4.0,0,1,0,0
149,7.09107,2017,2.0,4.0,0,0,0,1
150,7.51932,2009,2.0,5.0,0,0,0,1
151,6.97041,2003,2.0,5.0,1,0,0,0
152,8.04625,2017,1.0,4.0,0,0,0,1
153,7.83735,2010,2.0,6.0,0,1,0,0
154,7.18593,2007,2.0,5.0,0,0,0,1
155,7.33797,1964,2.0,6.0,0,0,0,1
156,7.09817,2006,2.0,4.0,0,0,0,1
157,7.82571,2005,3.0,6.0,0,1,0,0
158,7.23858,2016,2.0,8.0,0,0,1,0
159,7.70146,1982,1.0,8.0,0,0,0,1
160,7.33212,1999,2.0,4.0,0,0,0,1
161,5.67028,1949,2.0,6.0,0,0,1,0
162,7.90336,2006,2.0,4.0,0,1,0,0
163,7.77011,2015,2.0,4.0,0,0,0,1
164,6.82429,2005,3.0,8.0,0,0,1,0
165,7.43915,1992,3.0,5.0,0,0,0,1
166,5.79461,1999,4.0,10.0,0,0,1,0
167,7.44377,2011,3.0,12.0,0,0,1,0
168,7.13639,2011,1.0,1.0,0,0,0,1
169,7.4898,2014,4.0,12.0,0,0,1,0
170,7.01573,2008,2.0,10.0,0,0,1,0
171,8.38755,2018,1.0,5.0,0,0,0,1
172,7.28616,2012,1.0,4.0,0,0,0,0
173,7.83483,2018,3.0,5.0,0,0,0,1
174,7.55405,2016,2.0,8.0,0,0,0,1
175,7.62365,2018,1.0,4.0,1,0,0,0
176,7.14059,2012,1.0,6.0,0,0,0,1
177,7.01784,2017,1.0,8.0,0,0,1,0
178,7.38691,2014,2.0,2.0,1,0,0,0
179,6.77722,2006,2.0,4.0,0,0,0,0
180,7.70222,2012,2.0,5.0,0,0,0,1
181,7.05614,2007,2.0,6.0,0,0,1,0
182,7.36259,2015,1.0,5.0,0,0,0,1
183,7.73296,2018,1.0,4.0,0,0,0,1
184,7.64216,2012,2.0,2.0,0,0,0,1
185,7.27204,2017,2.0,4.0,1,0,0,0
186,8.11465,2020,1.0,4.0,0,0,0,1
187,6.2167,2010,2.0,22.0,0,0,1,0
188,7.28262,2006,2.0,4.0,0,0,0,1
189,6.80473,2013,4.0,12.0,0,0,1,0
190,7.98675,2017,1.0,4.0,0,0,0,1
191,7.71772,2019,1.0,22.0,0,0,1,0
192,7.53448,2017,2.0,2.0,1,0,0,0
193,7.2041,2011,3.0,6.0,0,0,1,0
194,5.67209,1997,2.0,6.0,0,0,1,0
195,7.18335,2012,2.0,4.0,0,0,0,1
196,7.41393,2000,2.0,2.0,1,0,0,0
197,6.99947,2006,2.0,2.0,0,0,0,1
198,7.11718,2004,1.0,4.0,1,0,0,0
199,8.67603,2017,3.0,6.0,0,1,0,0
200,6.98559,2012,1.0,5.0,1,0,0,0
201,8.68168,2020,1.0,4.0,0,1,0,0
202,7.20327,2007,2.0,4.0,1,0,0,0
203,7.76155,2013,2.0,4.0,0,0,0,1
204,7.26576,2010,2.0,4.0,0,0,0,1
205,7.61605,2018,3.0,7.0,0,0,1,0
206,7.50987,2016,1.0,4.0,0,0,0,1
207,7.75699,2011,2.0,4.0,0,1,0,0
208,7.63588,1910,2.0,2.0,0,1,0,0
209,8.51211,2012,2.0,4.0,0,1,0,0
210,7.62274,2017,2.0,4.0,1,0,0,0
211,8.11562,2015,2.0,5.0,0,1,0,0
212,7.14519,2015,2.0,4.0,1,0,0,0
213,7.45491,1998,2.0,4.0,0,0,0,1
214,7.19884,2011,2.0,5.0,0,0,0,1
215,7.92804,2018,1.0,4.0,0,1,0,0
216,7.42644,2008,1.0,5.0,0,0,0,1
217,8.02394,2016,2.0,4.0,0,0,0,1
218,7.36252,2015,2.0,4.0,0,0,0,1
219,6.51223,1983,3.0,6.0,0,0,1,0
220,7.28966,2004,2.0,4.0,0,0,0,1
221,6.93809,2014,2.0,6.0,0,0,1,0
222,8.32094,2020,1.0,4.0,0,0,0,1
223,7.4012,2010,2.0,4.0,0,1,0,0
224,6.65141,2009,1.0,6.0,0,0,1,0
225,7.52598,2000,2.0,5.0,0,0,0,1
226,6.74411,2000,2.0,5.0,0,0,0,1
227,5.80037,2001,2.0,6.0,0,0,1,0
228,7.87849,2015,2.0,4.0,0,0,0,1
229,6.27946,2013,2.0,4.0,1,0,0,0
230,7.67536,2009,3.0,4.0,0,0,0,1
231,7.76208,2015,2.0,4.0,0,0,0,1
232,7.81489,2016,2.0,4.0,0,0,0,1
233,7.11148,2014,2.0,6.0,0,0,0,1
234,6.85444,1980,2.0,4.0,1,0,0,0
235,7.39804,2010,2.0,4.0,0,0,0,1
236,7.79134,2018,3.0,8.0,0,0,1,0
237,6.10099,1946,2.0,2.0,1,0,0,0
238,6.40298,1977,2.0,4.0,1,0,0,0
239,7.38148,2011,2.0,6.0,0,0,0,1
240,6.61343,2009,2.0,8.0,0,0,1,0
241,7.13361,2014,2.0,5.0,1,0,0,0
242,6.8246,2007,2.0,5.0,1,0,0,0
243,7.46124,2019,1.0,5.0,0,0,0,1
244,6.33249,2005,2.0,4.0,1,0,0,0
245,7.39635,2009,4.0,8.0,0,0,1,0
246,7.43243,2016,2.0,4.0,0,0,0,1
247,8.20354,2019,1.0,4.0,0,0,0,1
248,7.74168,2019,2.0,4.0,0,0,0,1
249,7.35452,2017,2.0,4.0,1,0,0,0
250,7.40154,2015,2.0,4.0,0,0,0,1
251,7.57742,2016,2.0,4.0,1,0,0,0
252,6.93285,2005,3.0,7.0,0,0,1,0
253,7.48255,2013,1.0,5.0,0,0,0,1
254,6.52086,2007,2.0,6.0,0,0,0,1
255,7.57768,1991,4.0,4.0,0,0,0,1
256,7.53518,2016,2.0,4.0,1,0,0,0
257,8.00767,2016,1.0,4.0,0,0,0,1
258,7.40331,2006,1.0,4.0,0,0,0,1
259,6.93243,2007,2.0,6.0,0,0,0,1
260,7.66769,2015,1.0,6.0,0,0,0,1
261,6.89985,2014,2.0,4.0,1,0,0,0
262,8.10833,2017,2.0,4.0,0,0,0,1
263,7.44725,2011,2.0,4.0,0,1,0,0
264,7.94517,1910,2.0,4.0,1,0,0,0
265,6.87958,2014,4.0,8.0,0,0,1,0
266,6.7501,2011,2.0,4.0,1,0,0,0
267,6.71196,1996,2.0,2.0,0,0,0,1
268,8.11122,2017,1.0,4.0,0,1,0,0
269,7.48733,2005,2.0,5.0,0,0,0,1
270,6.90368,1910,2.0,6.0,0,0,1,0
271,7.3835,2009,2.0,4.0,0,1,0,0
272,7.40422,2010,2.0,4.0,0,0,0,1
273,7.53401,2006,3.0,5.0,0,0,0,1
274,7.31727,2019,1.0,6.0,0,0,0,1
275,7.6805,2017,1.0,4.0,0,0,0,1
276,7.07634,1998,2.0,5.0,0,0,0,1
277,7.17791,2016,2.0,4.0,0,0,0,1
278,7.28883,2011,2.0,5.0,0,0,0,1
279,7.17571,2015,2.0,5.0,1,0,0,0
280,7.05067,2018,2.0,6.0,0,0,0,1
281,7.53343,2013,2.0,2.0,1,0,0,0
282,7.15261,2012,2.0,6.0,0,0,0,1
283,8.10335,2018,1.0,4.0,0,1,0,0
284,7.31972,2017,1.0,6.0,0,0,0,1
285,7.36635,2012,2.0,2.0,0,0,0,1
286,5.40922,1956,2.0,10.0,0,0,1,0
